"","X1","X2"
"165","2015-05-16","00:54:48"
"166","2015-05-16","09:05:54"
"167","2015-05-16","09:05:54"
"168","2015-05-16","10:35:41"
"169","2015-05-16","10:35:41"
"170","2015-05-16","12:53:16"
"171","2015-05-16","12:53:33"
"172","2015-05-16","23:36:24"
"173","2015-05-16","23:36:24"
"174","2015-05-17","17:47:11"
"175","2015-05-17","19:28:15"
"176","2015-05-17","19:28:15"
"177","2015-05-17","20:49:10"
"178","2015-05-17","20:49:10"
"179","2015-05-17","23:43:00"
"180","2015-05-18","10:39:10"
"181","2015-05-18","14:04:25"
"182","2015-05-18","14:04:25"
"183","2015-05-18","18:00:49"
"184","2015-05-18","19:27:18"
"185","2015-05-18","19:27:18"
"186","2015-05-18","21:59:10"
"187","2015-05-18","21:59:10"
"188","2015-05-19","10:30:45"
"189","2015-05-19","13:36:58"
"190","2015-05-20","05:38:31"
"191","2015-05-20","05:38:31"
"192","2015-05-20","07:44:10"
"193","2015-05-20","07:44:10"
"194","2015-05-20","10:31:14"
"195","2015-05-20","10:31:14"
"196","2015-05-20","20:25:58"
"197","2015-05-20","20:25:58"
"198","2015-05-21","19:04:02"
"199","2015-05-21","19:35:11"
"200","2015-05-21","20:31:09"
"201","2015-05-22","13:49:09"
"202","2015-05-22","14:34:16"
"203","2015-05-22","14:34:16"
"204","2015-05-22","22:22:46"
"205","2015-05-22","22:22:46"
"206","2015-05-23","08:21:33"
"207","2015-05-23","11:08:38"
"208","2015-05-23","11:11:28"
"209","2015-05-23","11:11:28"
"210","2015-05-23","16:36:54"
"211","2015-05-23","17:50:22"
"212","2015-05-23","17:50:22"
"213","2015-05-23","18:06:30"
"214","2015-05-23","18:06:30"
"215","2015-05-23","20:45:32"
"216","2015-05-23","20:45:32"
"217","2015-05-23","22:29:15"
"218","2015-05-24","10:37:16"
"219","2015-05-24","14:10:11"
"220","2015-05-24","15:19:28"
"221","2015-05-24","15:19:28"
"222","2015-05-24","16:44:04"
"223","2015-05-24","18:07:43"
"224","2015-05-24","18:39:00"
"225","2015-05-25","16:21:48"
"226","2015-05-25","16:21:48"
"227","2015-05-25","17:03:02"
"228","2015-05-25","18:49:00"
"229","2015-05-25","20:16:34"
"230","2015-05-25","20:54:54"
"231","2015-05-26","19:49:00"
"232","2015-05-26","21:06:25"
"233","2015-05-26","21:06:25"
"234","2015-05-27","00:09:36"
"235","2015-05-27","04:11:56"
"236","2015-05-27","04:11:56"
"237","2015-05-27","04:11:56"
"238","2015-05-27","06:37:13"
"239","2015-05-27","13:07:45"
"240","2015-05-27","14:25:46"
"241","2015-05-27","21:31:48"
"242","2015-05-27","21:58:12"
"243","2015-05-27","23:16:52"
"244","2015-05-27","23:16:52"
"245","2015-05-28","10:07:00"
"246","2015-05-28","10:53:41"
"247","2015-05-29","07:37:12"
"248","2015-05-29","07:37:12"
"249","2015-05-29","08:37:22"
"250","2015-05-29","16:57:30"
"251","2015-05-29","20:34:45"
"252","2015-05-29","20:34:45"
"253","2015-05-30","14:15:58"
"254","2015-05-30","17:56:36"
"255","2015-05-30","18:03:32"
"256","2015-05-30","21:36:28"
"257","2015-05-30","21:36:28"
"258","2015-05-31","08:47:35"
"259","2015-05-31","10:11:21"
"260","2015-05-31","10:11:21"
"261","2015-05-31","11:40:00"
"262","2015-05-31","13:45:37"
"263","2015-05-31","13:45:37"
"264","2015-05-31","14:05:16"
"265","2015-05-31","17:47:32"
"266","2015-05-31","19:04:50"
"267","2015-05-31","19:04:50"
"268","2015-05-31","21:19:37"
"269","2015-05-31","21:19:37"
"270","2015-05-31","21:37:40"
"271","2015-05-31","21:37:40"
"272","2015-06-01","13:00:12"
"273","2015-06-01","13:00:12"
"274","2015-06-01","14:07:39"
"275","2015-06-01","14:07:39"
"276","2015-06-02","10:29:03"
"277","2015-06-02","11:29:03"
"278","2015-06-02","11:29:03"
"279","2015-06-02","15:19:48"
"280","2015-06-02","20:01:44"
"281","2015-06-02","20:01:44"
"282","2015-06-03","10:22:13"
"283","2015-06-03","10:22:13"
"284","2015-06-03","21:12:28"
"285","2015-06-04","06:56:49"
"286","2015-06-04","06:56:49"
"287","2015-06-04","22:57:25"
"288","2015-06-05","00:15:41"
"289","2015-06-05","00:47:58"
"290","2015-06-06","08:33:13"
"291","2015-06-06","21:35:45"
"292","2015-06-07","19:09:41"
"293","2015-06-07","19:39:13"
"294","2015-06-07","19:39:13"
"295","2015-06-08","08:05:05"
"296","2015-06-08","08:05:05"
"297","2015-06-08","08:50:51"
"298","2015-06-08","09:40:41"
"299","2015-06-08","09:40:41"
"300","2015-06-08","12:33:32"
"301","2015-06-08","18:22:29"
"302","2015-06-08","20:01:53"
"303","2015-06-08","20:01:53"
"304","2015-06-09","00:02:51"
"305","2015-06-09","14:08:54"
"306","2015-06-09","17:35:53"
"307","2015-06-09","19:45:11"
"308","2015-06-09","19:45:11"
"309","2015-06-09","20:57:04"
"310","2015-06-10","15:31:40"
"311","2015-06-10","15:31:40"
"312","2015-06-10","15:31:40"
"313","2015-06-10","19:53:12"
"314","2015-06-10","19:53:12"
"315","2015-06-11","06:42:17"
"316","2015-06-11","06:42:17"
"317","2015-06-11","06:42:17"
"318","2015-06-11","08:38:18"
"319","2015-06-12","00:02:17"
"320","2015-06-12","14:18:11"
"321","2015-06-12","14:18:11"
"322","2015-06-12","17:47:09"
"323","2015-06-12","17:47:09"
"324","2015-06-12","21:39:27"
"325","2015-06-13","12:24:52"
"326","2015-06-13","12:24:52"
"327","2015-06-13","12:24:52"
"328","2015-06-13","12:24:52"
"329","2015-06-13","18:30:00"
"330","2015-06-13","18:30:00"
"331","2015-06-14","18:18:34"
"332","2015-06-14","18:18:34"
"333","2015-06-14","22:16:07"
"334","2015-06-14","22:16:07"
"335","2015-06-14","23:45:49"
"336","2015-06-15","08:23:18"
"337","2015-06-16","21:24:17"
"338","2015-06-17","07:29:37"
"339","2015-06-17","07:29:37"
"340","2015-06-17","11:17:52"
"341","2015-06-17","11:23:56"
"342","2015-06-17","18:11:41"
"343","2015-06-19","12:39:38"
"344","2015-06-19","12:39:38"
"345","2015-06-21","17:41:27"
"346","2015-06-21","19:33:57"
"347","2015-06-21","23:35:26"
"348","2015-06-22","12:32:41"
"349","2015-06-22","18:49:41"
"350","2015-06-23","09:39:39"
"351","2015-06-24","07:56:08"
"352","2015-06-24","07:56:08"
"353","2015-06-24","07:56:08"
"354","2015-06-24","16:33:18"
"355","2015-06-24","16:33:18"
"356","2015-06-24","19:13:36"
"357","2015-06-24","19:13:36"
"358","2015-06-25","16:52:26"
"359","2015-06-26","01:07:26"
"360","2015-06-26","01:07:26"
"361","2015-06-26","10:59:14"
"362","2015-06-26","16:11:43"
"363","2015-06-26","19:00:24"
"364","2015-06-26","19:00:24"
"365","2015-06-26","19:00:24"
"366","2015-06-26","19:00:24"
"367","2015-06-27","09:48:03"
"368","2015-06-27","09:48:03"
"369","2015-06-27","17:06:04"
"370","2015-06-28","10:20:30"
"371","2015-06-28","14:27:49"
"372","2015-07-01","06:49:21"
"373","2015-07-01","12:56:52"
"374","2015-07-03","20:38:08"
"375","2015-07-03","20:38:08"
"376","2015-07-03","20:38:08"
"377","2015-07-04","09:57:16"
"378","2015-07-04","09:57:16"
"379","2015-07-04","13:35:51"
"380","2015-07-04","13:35:51"
"381","2015-07-07","10:40:12"
"382","2015-07-08","10:58:25"
"383","2015-07-12","19:05:04"
"384","2015-07-12","19:05:04"
"385","2015-07-25","11:45:36"
"386","2015-07-26","10:16:20"
"387","2015-07-30","19:15:26"
"388","2015-08-02","16:34:57"
"389","2015-08-04","08:20:12"
"390","2015-08-07","09:14:22"
"391","2015-08-15","16:59:26"
"392","2015-08-15","16:59:26"
"393","2015-08-15","16:59:26"
"394","2015-08-24","06:41:31"
"395","2015-08-24","06:41:31"
"396","2015-08-24","06:41:31"
"397","2015-08-26","16:22:03"
"398","2015-08-27","14:02:35"
"399","2015-08-27","14:02:35"
"400","2015-09-02","13:17:02"
